# Lines starting with ”#” will be treated as comments.;;;;;;;;;;;;;;;;;;;
# This file can be reloaded with the ”reload stats” console command;;;;;;;;;;;;;;;;;;;
#;;;;;;;dmg reduction from;;;;;;;missile weapons only;;;;;
#;;;;;;%of dmg that will;armo is multiplied ;;100;50;;;;minimum speed;;;;;
#;;;;;%bonus dmg;go through shields;with this;;;;;;;of missiles;;;;;
key;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;end
# Lasers;;;;;;;;;;;;;;;;;;;
SMALL_RED_LASER;2.50;-2.50;5.00;10.00;0.80;0.00;0.15;2.00;23.00;25.00;30.00;0.90;0.60;0.00;0.00;0.00;0.00;0.00;
MEDIUM_RED_LASER;5.00;-5.00;13.00;18.00;0.80;0.00;0.30;2.00;23.00;25.00;50.00;0.85;0.30;0.00;0.00;0.00;0.00;0.00;
LARGE_RED_LASER;10.00;-10.00;25.00;43.00;0.80;0.00;0.60;2.00;23.00;25.00;70.00;0.80;0.05;0.00;0.00;0.00;0.00;0.00;
SMALL_BLUE_LASER;5.00;-5.00;6.00;11.00;0.80;0.00;0.15;2.00;23.00;25.00;30.00;0.90;0.60;0.00;0.00;0.00;0.00;0.00;
MEDIUM_BLUE_LASER;10.00;-10.00;15.00;22.00;0.80;0.00;0.30;2.00;23.00;25.00;50.00;0.85;0.30;0.00;0.00;0.00;0.00;0.00;
LARGE_BLUE_LASER;20.00;-20.00;32.00;48.00;0.80;0.00;0.60;2.00;23.00;25.00;70.00;0.80;0.05;0.00;0.00;0.00;0.00;0.00;
SMALL_UV_LASER;7.50;-7.50;8.00;12.00;0.80;0.00;0.15;2.00;23.00;25.00;30.00;0.90;0.60;0.00;0.00;0.00;0.00;0.00;
MEDIUM_UV_LASER;15.00;-15.00;16.00;26.00;0.80;0.00;0.30;2.00;23.00;25.00;50.00;0.85;0.30;0.00;0.00;0.00;0.00;0.00;
LARGE_UV_LASER;30.00;-30.00;35.00;56.00;0.80;0.00;0.60;2.00;23.00;25.00;70.00;0.80;0.05;0.00;0.00;0.00;0.00;0.00;
SMALL_XRAY_LASER;10.00;-10.00;9.00;13.00;0.80;0.00;0.15;2.00;23.00;25.00;30.00;0.90;0.60;0.00;0.00;0.00;0.00;0.00;
MEDIUM_XRAY_LASER;20.00;-20.00;18.00;30.00;0.80;0.00;0.30;2.00;23.00;25.00;50.00;0.85;0.30;0.00;0.00;0.00;0.00;0.00;
LARGE_XRAY_LASER;40.00;-40.00;39.00;63.00;0.80;0.00;0.60;2.00;23.00;25.00;70.00;0.80;0.05;0.00;0.00;0.00;0.00;0.00;
SMALL_GAMMA_LASER;12.50;-12.50;11.00;14.00;0.80;0.00;0.15;2.00;23.00;25.00;30.00;0.90;0.60;0.00;0.00;0.00;0.00;0.00;
MEDIUM_GAMMA_LASER;25.00;-25.00;19.00;33.00;0.80;0.00;0.30;2.00;23.00;25.00;50.00;0.85;0.30;0.00;0.00;0.00;0.00;0.00;
LARGE_GAMMA_LASER;50.00;-50.00;42.00;71.00;0.80;0.00;0.60;2.00;23.00;25.00;70.00;0.80;0.05;0.00;0.00;0.00;0.00;0.00;
# Spaceport Laser;;;;;;;;;;;;;;;;;;;
SMALL_SPACEPORT_LASER;0.00;0.00;5.00;10.00;0.80;0.00;0.33;2.00;23.00;25.00;30.00;0.90;0.50;0.00;0.00;0.00;0.00;0.00;
MEDIUM_SPACEPORT_LASER;0.00;0.00;13.00;18.00;0.80;0.00;0.33;2.00;23.00;25.00;50.00;0.85;0.25;0.00;0.00;0.00;0.00;0.00;
LARGE_SPACEPORT_LASER;0.00;0.00;25.00;41.00;0.80;0.00;0.33;2.00;23.00;25.00;70.00;0.80;0.05;0.00;0.00;0.00;0.00;0.00;
# Energy Lance;;;;;;;;;;;;;;;;;;;
LARGE_ENERGY_LANCE_1;100.00;-100.00;144.00;273.00;0.67;0.00;0.90;22.00;35.00;60.00;100.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
LARGE_ENERGY_LANCE_2;120.00;-120.00;169.00;331.00;0.67;0.00;0.90;22.00;35.00;60.00;100.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
# Titan Laser;;;;;;;;;;;;;;;;;;;
TITAN_LASER;300.00;-300.00;4000.00;6000.00;0.75;0.00;0.90;30.00;45.00;180.00;150.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
# Plasma;;;;;;;;;;;;;;;;;;;
SMALL_PLASMA_1;7.50;-7.50;8.00;14.00;0.80;0.00;0.60;2.00;25.00;30.00;40.00;0.85;0.40;0.00;0.00;0.00;0.00;0.00;
MEDIUM_PLASMA_1;15.00;-15.00;18.00;27.00;0.80;0.00;0.80;2.00;25.00;30.00;60.00;0.80;0.20;0.00;0.00;0.00;0.00;0.00;
